method,05.parquet,15.parquet,30.parquet,most,placeholder
mar,0.8302816152572632,0.771882951259613,0.6890515685081482,0.9930306474367777,0.9862849315007528
mcar,0.836039125919342,0.791068971157074,0.7359805107116699,0.9897758960723877,0.9862007101376852
